iter	RMSE
427	15.32584299
428	15.32449117
429	15.3229106
430	15.3212213
431	15.31938836
432	15.31716758
433	15.31541467
434	15.31329612
435	15.31118928
436	15.3091945
437	15.30692761
438	15.30511106
439	15.30350295
440	15.30154251
441	15.29926943
442	15.29726968
443	15.29621893
444	15.29423007
445	15.29326766
446	15.29157702
447	15.29026137
448	15.28866161
449	15.2868435
450	15.28477097
451	15.2835239
452	15.28074742
453	15.2797475
454	15.27815915
455	15.2766067
456	15.27387158
457	15.27190891
458	15.27038162
459	15.26906071
460	15.26780784
461	15.26628501
462	15.26462309
463	15.26379365
464	15.26216423
465	15.26007436
466	15.25860979
467	15.25632339
468	15.25508429
469	15.2529619
470	15.25155861
471	15.2490635
472	15.24683889
473	15.2445095
474	15.24301025
475	15.24156412
476	15.23901712
477	15.23741563
478	15.23536132
479	15.23338831
480	15.23167275
481	15.22951523
482	15.22774725
483	15.22599215
484	15.22512491
485	15.22311531
486	15.2217903
487	15.22013843
488	15.21784163
489	15.21632947
490	15.2143898
491	15.21359781
492	15.21230731
493	15.21100017
494	15.20899811
495	15.2074874
496	15.20646581
497	15.20483214
498	15.20325849
499	15.20169705
500	15.20020661
501	15.19862188
502	15.19709857
503	15.19553256
504	15.19357925
505	15.19245616
506	15.19042342
507	15.18872687
508	15.18722239
509	15.18403543
510	15.18184464
511	15.18077415
512	15.17896818
513	15.17813066
514	15.17676838
515	15.17480386
516	15.17263356
517	15.17088763
518	15.16867034
519	15.16691555
520	15.16484593
521	15.1637966
522	15.16191042
523	15.16062323
524	15.1587293
525	15.15644302
526	15.1543348
527	15.15242938
528	15.15086344
529	15.14772646
530	15.1463537
531	15.1448986
532	15.14292928
533	15.14148172
534	15.13944763
535	15.13845132
536	15.13729725
537	15.13445382
538	15.13272736
539	15.13190618
540	15.13067597
541	15.12888425
542	15.12722005
543	15.1248205
544	15.12354897
545	15.12211949
546	15.12049656
547	15.11923563
548	15.11800454
549	15.11657403
550	15.1139779
551	15.11221632
552	15.11004051
553	15.10826952
554	15.10686094
555	15.10525458
556	15.10338047
557	15.10190097
558	15.1004654
559	15.09884295
560	15.09756964
561	15.09572791
562	15.09394187
563	15.09302914
564	15.0915927
565	15.09045119
566	15.08881678
567	15.08756044
568	15.08586693
569	15.08401505
570	15.08237374
571	15.08092876
572	15.07970664
573	15.0781497
574	15.07593236
575	15.07446782
576	15.07353222
577	15.07239183
578	15.0704179
579	15.06877321
580	15.06645692
581	15.06373117
582	15.06162966
583	15.0597755
584	15.0585371
585	15.05651824
586	15.05384811
587	15.05127749
588	15.04914726
589	15.04803681
590	15.04636063
591	15.04486764
592	15.04382806
593	15.04207338
594	15.04100596
595	15.03879106
596	15.03714551
597	15.03605631
598	15.03492543
599	15.03317531
600	15.0307258
601	15.02968075
602	15.02818461
603	15.02658667
604	15.02491976
605	15.02320566
606	15.0221859
607	15.0204466
608	15.01886717
609	15.01764615
610	15.01608838
611	15.01432195
612	15.01253358
613	15.01128694
614	15.00977039
615	15.00803929
616	15.00672082
617	15.00516216
618	15.00348188
619	15.00197363
620	15.0009172
621	14.99923079
622	14.99773741
623	14.99707255
624	14.9956728
625	14.99441483
626	14.9931371
627	14.99224389
628	14.99097048
629	14.98961313
630	14.98880124
631	14.98706278
632	14.98581452
633	14.98419997
634	14.98286228
635	14.98154784
636	14.97988139
637	14.97820793
638	14.97632555
639	14.97448187
640	14.97339949
641	14.97222244
642	14.97071259
643	14.96896497
644	14.96764455
645	14.96662736
646	14.96572605
647	14.96371239
648	14.96242205
649	14.96177331
650	14.95969047
651	14.95809598
652	14.95678261
653	14.95529245
654	14.95351922
655	14.95195704
656	14.95010943
657	14.94886382
658	14.94712708
659	14.94602896
660	14.94453258
661	14.9428218
662	14.94152089
663	14.93934918
664	14.93896619
665	14.93740666
666	14.93647346
667	14.9353041
668	14.93366792
669	14.93162811
670	14.93070198
671	14.92914121
672	14.92764582
673	14.92622642
674	14.92513945
675	14.92357075
676	14.92186865
677	14.92035396
678	14.9180269
679	14.91686034
680	14.91609209
681	14.91471966
682	14.91346169
683	14.91224594
684	14.91150727
685	14.90996695
686	14.90820138
687	14.90707559
688	14.90569269
689	14.90428132
690	14.90185795
691	14.90036745
692	14.89908945
693	14.89751592
694	14.89577259
695	14.89333586
696	14.89178231
697	14.88999613
698	14.88794021
699	14.88599833
700	14.88356682
701	14.88271263
702	14.88118465
703	14.87962711
704	14.87796429
705	14.87678256
706	14.8745707
707	14.87377615
708	14.87248935
709	14.87114694
710	14.86989245
711	14.8684381
712	14.86701084
713	14.8661185
714	14.86478103
715	14.86307668
716	14.86192813
717	14.86060566
718	14.85929811
719	14.85793641
720	14.85673788
721	14.85513274
722	14.85329996
723	14.8522328
724	14.85057122
725	14.8487895
726	14.84685262
727	14.84538734
728	14.84315613
729	14.84172193
730	14.84042131
731	14.83902114
732	14.83734376
733	14.83662363
734	14.83554096
735	14.83410993
736	14.83137133
737	14.83080729
738	14.82922946
739	14.82810349
740	14.82666813
741	14.82572242
742	14.82412163
743	14.82290752
744	14.82155091
745	14.81967867
746	14.81863217
747	14.81704491
748	14.81584657
749	14.8143996
750	14.81289153
751	14.81142389
752	14.8102474
753	14.80912376
754	14.80827136
755	14.80725615
756	14.80563168
757	14.80418137
758	14.80188695
759	14.80068488
760	14.79864893
761	14.79766016
762	14.79633509
763	14.79518027
764	14.79396551
765	14.79198368
766	14.79115436
767	14.79028349
768	14.78884358
769	14.78769936
770	14.78678799
771	14.78456773
772	14.78346857
773	14.78183666
774	14.78039434
775	14.77861743
776	14.77770005
777	14.77622351
778	14.7745152
779	14.77337201
780	14.77168241
781	14.77048769
782	14.76929676
783	14.76779041
784	14.76624554
785	14.76506582
786	14.76366219
787	14.76277555
788	14.76143033
789	14.7596423
790	14.75856748
791	14.75759742
792	14.75601406
793	14.75446576
794	14.75291346
795	14.75183827
796	14.75027967
797	14.74917234
798	14.7482388
799	14.74631592
800	14.74519352
801	14.7443228
802	14.74358483
803	14.74276092
804	14.74127164
805	14.73995881
806	14.73843713
807	14.73705785
808	14.73552709
809	14.73428809
810	14.73330788
811	14.73205965
812	14.73094619
813	14.72934482
814	14.72799839
815	14.72693015
816	14.72527153
817	14.72373341
818	14.72243246
819	14.72149913
820	14.72044626
821	14.71899776
822	14.7177028
823	14.71628242
824	14.713976
825	14.71252157
826	14.71154188
827	14.71038739
828	14.70989167
829	14.70628962
830	14.70506491
831	14.70422761
832	14.70261669
833	14.70062332
834	14.69855353
835	14.69755182
836	14.69612619
837	14.69507254
838	14.69302833
839	14.69155632
840	14.69041932
841	14.68957018
842	14.6883922
843	14.68737934
844	14.68599142
845	14.68469435
846	14.68342339
847	14.68217248
848	14.68095049
849	14.67994737
850	14.67888812
851	14.67797381
852	14.67708682
853	14.67559118
854	14.67445348
855	14.67302531
856	14.67130787
857	14.67003885
858	14.66929167
859	14.66761128
860	14.66690966
861	14.66639673
862	14.66507943
863	14.66248036
864	14.66119198
865	14.66016795
866	14.65964041
867	14.65820284
868	14.65669875
869	14.65590995
870	14.65486937
871	14.65377424
872	14.65261093
873	14.65047819
874	14.64924168
875	14.64854333
876	14.64620707
877	14.64535677
878	14.64479651
879	14.64379623
880	14.64295223
881	14.64113004
882	14.63913994
883	14.63846137
884	14.63739469
885	14.63645312
886	14.63473115
887	14.63313074
888	14.63187376
889	14.63038015
890	14.62939509
891	14.627938
892	14.62678303
893	14.62556511
894	14.62485026
895	14.62338194
896	14.62228759
897	14.62102352
898	14.61902919
899	14.61751491
900	14.61647492
901	14.61502277
902	14.61410818
903	14.61319332
904	14.61151021
905	14.61062246
906	14.60893971
907	14.60661031
908	14.60554324
909	14.60424891
910	14.60312603
911	14.60201593
912	14.60116225
913	14.60065172
914	14.59916715
915	14.59835935
916	14.59722071
917	14.59610808
918	14.59425965
919	14.59342202
920	14.59218102
921	14.59100455
922	14.58976676
923	14.58856958
924	14.5874752
925	14.58641908
926	14.58556538
927	14.58467292
928	14.58351059
929	14.58180124
930	14.58094308
931	14.57978562
932	14.5789872
933	14.57840331
934	14.57475787
935	14.57370688
936	14.57236495
937	14.57150004
938	14.56976578
939	14.56845326
940	14.56750231
941	14.56638247
942	14.5653161
943	14.56383832
944	14.56255831
945	14.56140694
946	14.5604924
947	14.55904617
948	14.55763428
949	14.55702104
950	14.55528813
951	14.55441422
952	14.55359129
953	14.55209153
954	14.55097916
955	14.55018926
956	14.54892849
957	14.54744496
958	14.54636232
959	14.54505011
960	14.54353992
961	14.5428451
962	14.54172317
963	14.54077159
964	14.5394443
965	14.5383272
966	14.5370988
967	14.53631864
968	14.53529948
969	14.53339476
970	14.53148981
971	14.5305096
972	14.52935618
973	14.52816084
974	14.52655097
975	14.52580601
976	14.52433877
977	14.52233582
978	14.52123988
979	14.51925131
980	14.51717493
981	14.5153911
982	14.51440007
983	14.51338055
984	14.51169864
985	14.51071483
986	14.51028278
987	14.50924388
988	14.50817972
989	14.50662205
990	14.50564608
991	14.50476688
992	14.50346915
993	14.50193688
994	14.49996992
995	14.49872464
996	14.49754146
997	14.49666592
998	14.4952869
999	14.49423151
